,Entity,Code,Year,"GDP per capita, PPP (constant 2017 international $)"
52,Albania,ALB,2022,15492.067
85,Algeria,DZA,2022,11198.233
118,Angola,AGO,2022,5906.1157
151,Antigua and Barbuda,ATG,2022,22321.87
184,Argentina,ARG,2022,22461.441
217,Armenia,ARM,2022,16057.007
250,Aruba,ABW,2022,41273.613
283,Australia,AUS,2022,51090.26
316,Austria,AUT,2022,55867.184
349,Azerbaijan,AZE,2022,15094.284
382,Bahamas,BHS,2022,34663.496
415,Bahrain,BHR,2022,51854.715
448,Bangladesh,BGD,2022,6263.0044
481,Barbados,BRB,2022,15417.297
514,Belarus,BLR,2022,19092.111
547,Belgium,BEL,2022,53287.152
580,Belize,BLZ,2022,9473.706
613,Benin,BEN,2022,3435.1716
646,Bermuda,BMU,2022,81165.65
711,Bolivia,BOL,2022,8244.235
740,Bosnia and Herzegovina,BIH,2022,16737.227
773,Botswana,BWA,2022,15518.651
806,Brazil,BRA,2022,15093.465
839,Brunei,BRN,2022,58669.902
872,Bulgaria,BGR,2022,26961.291
905,Burkina Faso,BFA,2022,2158.8584
938,Burundi,BDI,2022,708.1783
968,Cambodia,KHM,2022,4533.8643
1001,Cameroon,CMR,2022,3723.5322
1034,Canada,CAN,2022,49296.38
1067,Cape Verde,CPV,2022,7379.2476
1084,Cayman Islands,CYM,2022,71353.89
1117,Central African Republic,CAF,2022,823.9822
1150,Chad,TCD,2022,1412.6708
1183,Chile,CHL,2022,25886.121
1216,China,CHN,2022,18187.842
1249,Colombia,COL,2022,15616.752
1282,Comoros,COM,2022,3245.7688
1315,Congo,COG,2022,3670.1997
1348,Costa Rica,CRI,2022,22070.922
1381,Cote d'Ivoire,CIV,2022,5537.3696
1409,Croatia,HRV,2022,34302.348
1432,Curacao,CUW,2022,23114.951
1465,Cyprus,CYP,2022,44996.316
1498,Czechia,CZE,2022,41052.348
1531,Democratic Republic of Congo,COD,2022,1132.6542
1564,Denmark,DNK,2022,59935.12
1574,Djibouti,DJI,2022,4989.4087
1607,Dominica,DMA,2022,11463.598
1640,Dominican Republic,DOM,2022,19338.016
1673,East Asia and Pacific (WB),,2022,19194.568
1696,East Timor,TLS,2022,3943.0925
1729,Ecuador,ECU,2022,10859.218
1762,Egypt,EGY,2022,12780.76
1795,El Salvador,SLV,2022,9396.014
1828,Equatorial Guinea,GNQ,2022,14918.297
1856,Estonia,EST,2022,37711.82
1889,Eswatini,SWZ,2022,9058.583
1922,Ethiopia,ETH,2022,2381.1658
1955,Europe and Central Asia (WB),,2022,36711.48
1988,European Union (27),,2022,45977.418
2021,Fiji,FJI,2022,12388.108
2054,Finland,FIN,2022,49275.152
2087,France,FRA,2022,45904.41
2120,Gabon,GAB,2022,13939.787
2153,Gambia,GMB,2022,2113.6147
2186,Georgia,GEO,2022,17078.342
2219,Germany,DEU,2022,53969.625
2252,Ghana,GHA,2022,5480.33
