,Unnamed: 0,Country Name,Country Code,2023 Life Expectancy,GDP,Population,region
0,0,Angola,AGO,61.929,84.72295764,36684202,Africa
1,1,Albania,ALB,76.833,22.97767786,2745972,Europe
2,3,United Arab Emirates,ARE,79.196,504.0,9516871,Asia
3,4,Argentina,ARG,76.064,641.0,46654581,Americas
4,5,Armenia,ARM,73.372,24.21213463,2777970,Asia
5,6,Antigua and Barbuda,ATG,79.236,2.033085185,94298,Americas
6,7,Australia,AUS,83.2,1720.0,26638544,Oceania
7,8,Austria,AUT,81.09268293,516.0,9132383,Europe
8,9,Azerbaijan,AZE,73.488,72.35617647,10112555,Asia
9,10,Burundi,BDI,61.977,2.642161669,13238559,Africa
10,11,Belgium,BEL,81.69756098,632.0,11822592,Europe
11,12,Benin,BEN,59.954,19.67328469,13712828,Africa
12,13,Burkina Faso,BFA,59.766,20.32461784,23251485,Africa
13,14,Bangladesh,BGD,73.698,437.0,172954319,Asia
14,15,Bulgaria,BGR,74.36097561,102.0,6430370,Europe
15,16,Bahrain,BHR,79.246,43.205,1485509,Asia
16,17,"Bahamas, The",BHS,74.358,14.3385,412623,Americas
17,18,Bosnia and Herzegovina,BIH,75.293,27.05488936,3210847,Europe
18,19,Belarus,BLR,73.11146341,71.85738275,9178298,Europe
19,20,Belize,BLZ,70.962,3.2815,410825,Americas
20,21,Bolivia,BOL,64.928,45.84983291,12388571,Americas
21,22,Brazil,BRA,73.425,2170.0,216422446,Americas
22,23,Barbados,BRB,77.706,6.39356419,281995,Americas
23,24,Brunei Darussalam,BRN,74.551,15.12829295,452524,Asia
24,25,Botswana,BWA,65.913,19.39576513,2675352,Africa
25,26,Central African Republic,CAF,54.477,2.555492085,5742315,Africa
26,27,Canada,CAN,81.29560976,2140.0,40097761,Americas
27,29,Switzerland,CHE,83.45365854,885.0,8849852,Europe
28,30,Chile,CHL,79.519,336.0,19629590,Americas
29,31,China,CHN,78.587,17800.0,1410710000,Asia
30,32,Cote d'Ivoire,CIV,58.916,78.78882891,28873034,Africa
31,33,Cameroon,CMR,60.958,47.94551009,28647293,Africa
32,34,"Congo, Dem. Rep.",COD,59.743,66.383287,102262808,Africa
33,35,"Congo, Rep.",COG,63.053,15.32105582,6106869,Africa
34,36,Colombia,COL,73.659,364.0,52085168,Americas
35,37,Comoros,COM,63.68,1.352380972,852075,Africa
36,38,Cabo Verde,CPV,74.722,2.587252076,598682,Africa
37,39,Costa Rica,CRI,77.32,86.49794144,5212173,Americas
38,41,Cyprus,CYP,81.889,32.22962267,1260138,Asia
39,42,Czechia,CZE,79.02926829,331.0,10873689,Europe
40,43,Germany,DEU,80.70560976,4460.0,84482267,Europe
