Country Name,Country Code,Year,GDP,Continent
Brazil,BRA,2010,2208840000000.0,South America
Canada,CAN,2010,1617340000000.0,North America
China,CHN,2010,6087190000000.0,Asia
Germany,DEU,2010,3399670000000.0,Europe
France,FRA,2010,2645190000000.0,Europe
United Kingdom,GBR,2010,2485480000000.0,Europe
India,IND,2010,1675620000000.0,Asia
Italy,ITA,2010,2136100000000.0,Europe
Japan,JPN,2010,5759070000000.0,Asia
United States,USA,2010,15049000000000.0,North America
Brazil,BRA,2011,2616160000000.0,South America
Canada,CAN,2011,1793330000000.0,North America
China,CHN,2011,7551550000000.0,Asia
Germany,DEU,2011,3749310000000.0,Europe
France,FRA,2011,2865160000000.0,Europe
United Kingdom,GBR,2011,2663810000000.0,Europe
India,IND,2011,1823050000000.0,Asia
Italy,ITA,2011,2294990000000.0,Europe
Japan,JPN,2011,6233150000000.0,Asia
United States,USA,2011,15599700000000.0,North America
Brazil,BRA,2012,2465230000000.0,South America
Canada,CAN,2012,1828370000000.0,North America
China,CHN,2012,8532190000000.0,Asia
Germany,DEU,2012,3527140000000.0,Europe
France,FRA,2012,2683670000000.0,Europe
United Kingdom,GBR,2012,2707090000000.0,Europe
India,IND,2012,1827640000000.0,Asia
Italy,ITA,2012,2086960000000.0,Europe
Japan,JPN,2012,6272360000000.0,Asia
United States,USA,2012,16254000000000.0,North America
Brazil,BRA,2013,2472820000000.0,South America
Canada,CAN,2013,1846600000000.0,North America
China,CHN,2013,9570470000000.0,Asia
Germany,DEU,2013,3733800000000.0,Europe
France,FRA,2013,2811880000000.0,Europe
United Kingdom,GBR,2013,2784850000000.0,Europe
India,IND,2013,1856720000000.0,Asia
Italy,ITA,2013,2141920000000.0,Europe
Japan,JPN,2013,5212330000000.0,Asia
United States,USA,2013,16880700000000.0,North America
Brazil,BRA,2014,2456040000000.0,South America
Canada,CAN,2014,1805750000000.0,North America
China,CHN,2014,10475600000000.0,Asia
Germany,DEU,2014,3889090000000.0,Europe
France,FRA,2014,2855960000000.0,Europe
United Kingdom,GBR,2014,3064710000000.0,Europe
India,IND,2014,2039130000000.0,Asia
Italy,ITA,2014,2162010000000.0,Europe
Japan,JPN,2014,4896990000000.0,Asia
United States,USA,2014,17608100000000.0,North America
Brazil,BRA,2015,1802210000000.0,South America
Canada,CAN,2015,1556510000000.0,North America
China,CHN,2015,11061600000000.0,Asia
Germany,DEU,2015,3357590000000.0,Europe
France,FRA,2015,2439190000000.0,Europe
United Kingdom,GBR,2015,2927910000000.0,Europe
India,IND,2015,2103590000000.0,Asia
Italy,ITA,2015,1836640000000.0,Europe
Japan,JPN,2015,4444930000000.0,Asia
United States,USA,2015,18295000000000.0,North America
Brazil,BRA,2016,1795690000000.0,South America
Canada,CAN,2016,1527990000000.0,North America
China,CHN,2016,11233300000000.0,Asia
Germany,DEU,2016,3469850000000.0,Europe
France,FRA,2016,2472960000000.0,Europe
United Kingdom,GBR,2016,2689110000000.0,Europe
India,IND,2016,2294800000000.0,Asia
Italy,ITA,2016,1877070000000.0,Europe
Japan,JPN,2016,5003680000000.0,Asia
United States,USA,2016,18804900000000.0,North America
Brazil,BRA,2017,2063510000000.0,South America
Canada,CAN,2017,1649270000000.0,North America
China,CHN,2017,12310500000000.0,Asia
Germany,DEU,2017,3690850000000.0,Europe
France,FRA,2017,2595150000000.0,Europe
United Kingdom,GBR,2017,2680150000000.0,Europe
India,IND,2017,2651470000000.0,Asia
Italy,ITA,2017,1961800000000.0,Europe
Japan,JPN,2017,4930840000000.0,Asia
United States,USA,2017,19612100000000.0,North America
Brazil,BRA,2018,1916930000000.0,South America
Canada,CAN,2018,1725330000000.0,North America
China,CHN,2018,13894900000000.0,Asia
Germany,DEU,2018,3974440000000.0,Europe
France,FRA,2018,2790960000000.0,Europe
United Kingdom,GBR,2018,2871340000000.0,Europe
India,IND,2018,2702930000000.0,Asia
Italy,ITA,2018,2091930000000.0,Europe
Japan,JPN,2018,5040880000000.0,Asia
United States,USA,2018,20656500000000.0,North America
Brazil,BRA,2019,1873290000000.0,South America
Canada,CAN,2019,1743730000000.0,North America
China,CHN,2019,14280000000000.0,Asia
Germany,DEU,2019,3889180000000.0,Europe
France,FRA,2019,2728870000000.0,Europe
United Kingdom,GBR,2019,2851410000000.0,Europe
India,IND,2019,2835610000000.0,Asia
Italy,ITA,2019,2011300000000.0,Europe
Japan,JPN,2019,5117990000000.0,Asia
United States,USA,2019,21521400000000.0,North America
Brazil,BRA,2020,1476110000000.0,South America
Canada,CAN,2020,1655680000000.0,North America
China,CHN,2020,14687700000000.0,Asia
Germany,DEU,2020,3887730000000.0,Europe
France,FRA,2020,2647420000000.0,Europe
United Kingdom,GBR,2020,2697810000000.0,Europe
India,IND,2020,2674850000000.0,Asia
Italy,ITA,2020,1897460000000.0,Europe
Japan,JPN,2020,5055590000000.0,Asia
United States,USA,2020,21323000000000.0,North America
Brazil,BRA,2021,1670650000000.0,South America
Canada,CAN,2021,2007470000000.0,North America
China,CHN,2021,17820500000000.0,Asia
Germany,DEU,2021,4278500000000.0,Europe
France,FRA,2021,2959360000000.0,Europe
United Kingdom,GBR,2021,3141510000000.0,Europe
India,IND,2021,3167270000000.0,Asia
Italy,ITA,2021,2154880000000.0,Europe
Japan,JPN,2021,5034620000000.0,Asia
United States,USA,2021,23594000000000.0,North America
Brazil,BRA,2022,1951920000000.0,South America
Canada,CAN,2022,2161480000000.0,North America
China,CHN,2022,17881800000000.0,Asia
Germany,DEU,2022,4082470000000.0,Europe
France,FRA,2022,2779090000000.0,Europe
United Kingdom,GBR,2022,3088840000000.0,Europe
India,IND,2022,3353470000000.0,Asia
Italy,ITA,2022,2066970000000.0,Europe
Japan,JPN,2022,4256410000000.0,Asia
United States,USA,2022,25744100000000.0,North America
Brazil,BRA,2023,2173670000000.0,South America
Canada,CAN,2023,2140090000000.0,North America
China,CHN,2023,17794800000000.0,Asia
Germany,DEU,2023,4456080000000.0,Europe
France,FRA,2023,3030900000000.0,Europe
United Kingdom,GBR,2023,3340030000000.0,Europe
India,IND,2023,3549920000000.0,Asia
Italy,ITA,2023,2254850000000.0,Europe
Japan,JPN,2023,4212950000000.0,Asia
United States,USA,2023,27360900000000.0,North America
