,Country Name,Country Code,2023 Life Expectancy,GDP,Population
0,Angola,AGO,61.929,84.72295764,36684202
1,Albania,ALB,76.833,22.97767786,2745972
2,Arab World,ARB,71.22727445,3490,473272080
3,United Arab Emirates,ARE,79.196,504,9516871
4,Argentina,ARG,76.064,641,46654581
5,Armenia,ARM,73.372,24.21213463,2777970
6,Antigua and Barbuda,ATG,79.236,2.033085185,94298
7,Australia,AUS,83.2,1720,26638544
8,Austria,AUT,81.09268293,516,9132383
9,Azerbaijan,AZE,73.488,72.35617647,10112555
10,Burundi,BDI,61.977,2.642161669,13238559
11,Belgium,BEL,81.69756098,632,11822592
12,Benin,BEN,59.954,19.67328469,13712828
13,Burkina Faso,BFA,59.766,20.32461784,23251485
14,Bangladesh,BGD,73.698,437,172954319
15,Bulgaria,BGR,74.36097561,102,6430370
16,Bahrain,BHR,79.246,43.205,1485509
17,"Bahamas, The",BHS,74.358,14.3385,412623
18,Bosnia and Herzegovina,BIH,75.293,27.05488936,3210847
19,Belarus,BLR,73.11146341,71.85738275,9178298
20,Belize,BLZ,70.962,3.2815,410825
21,Bolivia,BOL,64.928,45.84983291,12388571
22,Brazil,BRA,73.425,2170,216422446
23,Barbados,BRB,77.706,6.39356419,281995
24,Brunei Darussalam,BRN,74.551,15.12829295,452524
25,Botswana,BWA,65.913,19.39576513,2675352
26,Central African Republic,CAF,54.477,2.555492085,5742315
27,Canada,CAN,81.29560976,2140,40097761
28,Central Europe and the Baltics,CEB,76.79008321,2250,100156608
29,Switzerland,CHE,83.45365854,885,8849852
30,Chile,CHL,79.519,336,19629590
31,China,CHN,78.587,17800,1410710000
32,Cote d'Ivoire,CIV,58.916,78.78882891,28873034
33,Cameroon,CMR,60.958,47.94551009,28647293
34,"Congo, Dem. Rep.",COD,59.743,66.383287,102262808
35,"Congo, Rep.",COG,63.053,15.32105582,6106869
36,Colombia,COL,73.659,364,52085168
37,Comoros,COM,63.68,1.352380972,852075
38,Cabo Verde,CPV,74.722,2.587252076,598682
39,Costa Rica,CRI,77.32,86.49794144,5212173
40,Caribbean small states,CSS,71.03467709,53.25263767,3167738
41,Cyprus,CYP,81.889,32.22962267,1260138
42,Czechia,CZE,79.02926829,331,10873689
43,Germany,DEU,80.70560976,4460,84482267
44,Djibouti,DJI,62.859,4.098530514,1136455
45,Dominica,DMA,72.981,0.653992593,73040
46,Denmark,DNK,81.30487805,404,5946952
47,Dominican Republic,DOM,74.17,121,11332972
48,Algeria,DZA,77.129,240,45606480
51,Ecuador,ECU,77.894,119,18190484
52,"Egypt, Arab Rep.",EGY,70.159,396,112716598
53,Spain,ESP,83.08292683,1580,48373336
54,Estonia,EST,77.94390244,40.74484883,1366188
55,Ethiopia,ETH,65.645,164,126527060
56,Finland,FIN,81.18780488,300,5584264
57,Fiji,FJI,68.312,5.494797541,936375
58,France,FRA,82.22926829,3030,68170228
59,"Micronesia, Fed. Sts.",FSM,70.925,0.46,115224
60,Gabon,GAB,65.694,20.51613439,2436566
61,United Kingdom,GBR,82.05853659,3340,68350000
62,Georgia,GEO,71.587,30.53553048,3760365
63,Ghana,GHA,63.945,76.37039441,34121985
64,Guinea,GIN,58.985,23.61229582,14190612
65,"Gambia, The",GMB,62.906,2.339904157,2773168
66,Guinea-Bissau,GNB,59.861,1.9664614,2150842
67,Equatorial Guinea,GNQ,61.19,12.11692254,1714671
68,Greece,GRC,80.63658537,238,10361295
69,Grenada,GRD,75.335,1.320334236,126183
70,Guatemala,GTM,68.674,102,17602431
71,Guyana,GUY,65.989,16.78630216,813834
72,"Hong Kong SAR, China",HKG,83.66097561,382,7536100
73,Honduras,HND,70.728,34.40050985,10593798
74,Croatia,HRV,77.57560976,82.68884272,3853200
75,Haiti,HTI,63.728,19.85082976,11724763
76,Hungary,HUN,76.01707317,212,9589872
77,Indonesia,IDN,68.25,1370,277534122
78,India,IND,67.744,3550,1428627663
79,Ireland,IRL,83.05609756,546,5262382
80,"Iran, Islamic Rep.",IRN,74.556,402,89172767
81,Iraq,IRQ,71.336,251,45504560
82,Iceland,ISL,82.17073171,31.02003258,393600
83,Israel,ISR,82.7,510,9756700
84,Italy,ITA,82.9,2250,58761146
85,Jamaica,JAM,70.629,19.42335537,2825544
86,Jordan,JOR,74.215,50.81364235,11337052
87,Japan,JPN,83.99634146,4210,124516650
88,Kazakhstan,KAZ,74.44,261,19900177
89,Kenya,KEN,62.055,107,55100586
90,Kyrgyz Republic,KGZ,72.04878049,13.98762791,7100800
91,Cambodia,KHM,69.896,31.77276,16944826
92,Kiribati,KIR,67.661,0.279034355,133515
93,St. Kitts and Nevis,KNA,72.027,1.077033111,47755
94,"Korea, Rep.",KOR,82.6804878,1710,51712619
95,Kuwait,KWT,80.264,162,4310108
97,Lao PDR,LAO,68.999,15.84315573,7633779
98,Liberia,LBR,61.1,4.332,5418377
99,Libya,LBY,72.151,50.49172245,6888388
100,St. Lucia,LCA,71.294,2.519925939,180251
103,Sri Lanka,LKA,76.61,84.35686042,22037000
106,Lesotho,LSO,53.036,2.046039024,2330318
108,Lithuania,LTU,75.79268293,77.83639696,2871897
109,Luxembourg,LUX,83.04634146,85.75500612,668606
110,Latvia,LVA,74.5804878,43.62707848,1881750
111,"Macao SAR, China",MAC,85.377,47.06184372,704149
112,Morocco,MAR,74.973,141,37840044
113,Moldova,MDA,68.621,16.53943655,2486891
114,Madagascar,MDG,65.23,16.03170292,30325732
115,Maldives,MDV,80.839,6.6,521021
116,Mexico,MEX,74.832,1790,128455567
117,Marshall Islands,MHL,65.146,0.284,41996
119,North Macedonia,MKD,74.42487805,14.76123704,1811980
120,Mali,MLI,59.417,20.9048983,23293698
121,Malta,MLT,82.7,20.95699945,553214
122,Myanmar,MMR,67.256,64.81503167,54577997
124,Montenegro,MNE,76.18780488,7.404541965,616177
125,Mongolia,MNG,72.667,19.87218037,3447157
126,Mozambique,MOZ,59.625,20.62459785,33897354
127,Mauritania,MRT,64.691,10.45257706,4862989
128,Mauritius,MUS,73.51463415,14.39712728,1261041
129,Malawi,MWI,62.898,14.08434106,20931751
130,Malaysia,MYS,76.26,400,34308525
131,Namibia,NAM,58.059,12.35102484,2604172
132,Niger,NER,62.08,16.81917042,27202843
133,Nigeria,NGA,53.633,363,223804632
134,Nicaragua,NIC,74.615,17.82921528,7046310
135,Netherlands,NLD,81.71463415,1120,17879488
136,Norway,NOR,82.56097561,486,5519594
137,Nepal,NPL,70.484,40.90807337,30896590
138,Nauru,NRU,64.014,0.154127798,12780
139,New Zealand,NZL,82.76097561,253,5223100
140,Oman,OMN,73.935,108,4644384
141,Pakistan,PAK,66.431,338,240485658
142,Panama,PAN,76.826,83.3824,4468087
143,Peru,PER,73.385,268,34352719
144,Philippines,PHL,72.187,437,117337368
145,Papua New Guinea,PNG,65.958,30.93249625,10329931
146,Poland,POL,77.30487805,811,36685849
147,Puerto Rico,PRI,79.72,118,3205691
148,Portugal,PRT,81.5804878,287,10525347
149,Paraguay,PRY,70.475,42.95626354,6861524
150,West Bank and Gaza,PSE,73.444,17.3963,5165775
151,Romania,ROU,75.30487805,351,19056116
152,Russian Federation,RUS,72.54560976,2020,143826130
153,Rwanda,RWA,67.129,14.09776865,14094683
154,Saudi Arabia,SAU,77.905,1070,36947025
155,Sudan,SDN,65.578,109,48109006
156,Senegal,SEN,67.913,31.01398643,17763163
157,Singapore,SGP,82.89512195,501,5917648
158,Solomon Islands,SLB,70.742,1.631286701,740424
159,Sierra Leone,SLE,60.411,3.809832237,8791092
160,El Salvador,SLV,71.475,34.01562,6364943
161,Somalia,SOM,56.107,11.67980011,18143378
162,Serbia,SRB,75.48219512,75.18712543,6618026
164,Sao Tome and Principe,STP,68.794,0.603240749,231856
165,Suriname,SUR,70.289,3.782437296,623236
166,Slovak Republic,SVK,77.06585366,133,5426740
167,Slovenia,SVN,81.28292683,68.21678141,2120937
168,Sweden,SWE,83.1097561,593,10536632
169,Eswatini,SWZ,56.36,4.597855845,1210822
170,Sint Maarten (Dutch part),SXM,74.409,1.623165683,41163
171,Seychelles,SYC,73.84878049,2.141450171,119773
172,Turks and Caicos Islands,TCA,74.925,1.402054391,46062
173,Chad,TCD,52.997,13.14932536,18278568
176,Togo,TGO,61.588,9.171261835,9053799
177,Thailand,THA,79.68,515,71801279
178,Tajikistan,TJK,71.288,12.06060201,10143543
179,Turkmenistan,TKM,69.41,59.88733484,6516100
181,Timor-Leste,TLS,69.056,2.243142908,1360596
185,Trinidad and Tobago,TTO,74.708,28.13994479,1534937
186,Tunisia,TUN,74.263,48.52959542,12458223
187,Turkiye,TUR,78.475,1110,85326000
188,Tuvalu,TUV,64.854,0.062280312,11396
189,Tanzania,TZA,66.782,79.15828633,67438106
190,Uganda,UGA,63.638,49.27288221,48582334
191,Ukraine,UKR,68.58792683,179,37000000
193,Uruguay,URY,78,77.24083159,3423108
194,United States,USA,77.43414634,27400,334914895
195,Uzbekistan,UZB,71.674,90.88914931,36412350
196,St. Vincent and the Grenadines,VCT,68.972,1.065962963,103698
197,Viet Nam,VNM,74.58,430,98858950
198,Vanuatu,VUT,70.492,1.126313359,334506
199,Samoa,WSM,72.598,0.934100336,225681
200,Kosovo,XKX,79.524,10.43835148,1756374
201,South Africa,ZAF,61.48,378,60414495
202,Zambia,ZMB,61.803,28.16263095,20569737
203,Zimbabwe,ZWE,59.391,26.5382735,16665409
