,Year,Region,Gross domestic product (GDP)
953,2010,Africa,4195421403600.0
954,2010,Americas,24259309104000.0
955,2010,Asia,37022709359000.0
956,2010,Europe,17572492253000.0
957,2010,Oceania,1133333000000.0
958,2010,Unknown,40446229049000.0
959,2011,Africa,4325722785000.0
960,2011,Americas,24958362069000.0
961,2011,Asia,39136550680000.0
962,2011,Europe,18008672495000.0
963,2011,Oceania,1166522000000.0
964,2011,Unknown,11211563691000.0
965,2012,Africa,4567958192000.0
966,2012,Americas,25564569102000.0
967,2012,Asia,41301216725000.0
968,2012,Europe,17949590539000.0
969,2012,Oceania,1208941000000.0
970,2012,Unknown,11576260847000.0
971,2013,Africa,4728684284000.0
972,2013,Americas,26133492352000.0
973,2013,Asia,43582531543000.0
974,2013,Europe,17998319272000.0
975,2013,Oceania,1235582000000.0
976,2013,Unknown,11824608875500.0
977,2014,Africa,4915500085000.0
978,2014,Americas,26651452667000.0
979,2014,Asia,45941658479000.0
980,2014,Europe,18289743317000.0
981,2014,Oceania,1268313000000.0
982,2014,Unknown,12005007803600.0
983,2015,Africa,5080918673000.0
984,2015,Americas,27115668402000.0
985,2015,Asia,48396689395000.0
986,2015,Europe,18604095610000.0
987,2015,Oceania,1300082000000.0
988,2015,Unknown,49142909104600.0
989,2016,Africa,5178453902000.0
990,2016,Americas,27316441747000.0
991,2016,Asia,51147092499000.0
992,2016,Europe,18972011540000.0
993,2016,Oceania,1337388000000.0
994,2016,Unknown,50680372628660.0
995,2017,Africa,5351951090600.0
996,2017,Americas,27850136069000.0
997,2017,Asia,53847597281000.0
998,2017,Europe,19472476187000.0
999,2017,Oceania,1372018000000.0
1000,2017,Unknown,52453065749930.0
1001,2018,Africa,5541511851700.0
1002,2018,Americas,28497842938000.0
1003,2018,Asia,56643181211000.0
1004,2018,Europe,19875327935000.0
1005,2018,Oceania,1413026000000.0
1006,2018,Unknown,54347823945870.0
1007,2019,Africa,5705509033600.0
1008,2019,Americas,28938458394000.0
1009,2019,Asia,58921741159000.0
1010,2019,Europe,20233789406000.0
1011,2019,Oceania,1442785000000.0
1012,2019,Unknown,55667330646240.0
1013,2020,Africa,5571243350000.0
1014,2020,Americas,27736942173000.0
1015,2020,Asia,58126108472000.0
1016,2020,Europe,18944136521000.0
1017,2020,Oceania,1417231000000.0
1018,2020,Unknown,53551461837800.0
1019,2021,Africa,5881315364000.0
1020,2021,Americas,29441121461000.0
1021,2021,Asia,62065807585000.0
1022,2021,Europe,19982442938000.0
1023,2021,Oceania,1493022000000.0
1024,2021,Unknown,56778169351300.0
1025,2022,Africa,6073995901000.0
1026,2022,Americas,30213594668000.0
1027,2022,Asia,64650450433000.0
1028,2022,Europe,20512055336000.0
1029,2022,Oceania,1544853000000.0
1030,2022,Unknown,58786615571400.0
