,Year,Region,Gross domestic product (GDP)
837,2010,Africa,3505735772300.0
838,2010,Americas,23835245558900.0
839,2010,Asia,32130112365000.0
840,2010,Europe,21254168188000.0
841,2010,Oceania,1133333000000.0
842,2011,Africa,3620481576000.0
843,2011,Americas,24506711681000.0
844,2011,Asia,34029819489000.0
845,2011,Europe,21915090235000.0
846,2011,Oceania,1166522000000.0
847,2012,Africa,3848823467000.0
848,2012,Americas,25082330711000.0
849,2012,Asia,36111927427000.0
850,2012,Europe,21991405849000.0
851,2012,Oceania,1208941000000.0
852,2013,Africa,3986399134500.0
853,2013,Americas,25641125988000.0
854,2013,Asia,38242502315000.0
855,2013,Europe,22103202887000.0
856,2013,Oceania,1235582000000.0
857,2014,Africa,4134677374600.0
858,2014,Americas,26175629418000.0
859,2014,Asia,40376812754000.0
860,2014,Europe,22436608251000.0
861,2014,Oceania,1268313000000.0
862,2015,Africa,4263157008600.0
863,2015,Americas,26669252827000.0
864,2015,Asia,42701331689000.0
865,2015,Europe,22703553970000.0
866,2015,Oceania,1300082000000.0
867,2016,Africa,4326761243960.0
868,2016,Americas,26951119409300.0
869,2016,Asia,45227158161000.0
870,2016,Europe,23097241540000.0
871,2016,Oceania,1337388000000.0
872,2017,Africa,4471250767100.0
873,2017,Americas,27543186642830.0
874,2017,Asia,47626908005000.0
875,2017,Europe,23735514907000.0
876,2017,Oceania,1372018000000.0
877,2018,Africa,4604340345900.0
878,2018,Americas,28250237166070.0
879,2018,Asia,50267087029000.0
880,2018,Europe,24263640935000.0
881,2018,Oceania,1413026000000.0
882,2019,Africa,4710991866200.0
883,2019,Americas,28768364621140.0
884,2019,Asia,52476841956000.0
885,2019,Europe,24696093406000.0
886,2019,Oceania,1442785000000.0
887,2020,Africa,4548552820500.0
888,2020,Americas,27630652225100.0
889,2020,Asia,51656412367000.0
890,2020,Europe,23320276521000.0
891,2020,Oceania,1417231000000.0
892,2021,Africa,4780329327500.0
893,2021,Americas,29333668399100.0
894,2021,Asia,55203681141000.0
895,2021,Europe,24598230938000.0
896,2021,Oceania,1493022000000.0
897,2022,Africa,4929636326900.0
898,2022,Americas,30097735798000.0
899,2022,Asia,57511225870000.0
900,2022,Europe,25057679336000.0
901,2022,Oceania,1544853000000.0
