name,Country Code,emissions
Afghanistan,AFG,0.223478872
Angola,AGO,0.592742968
Albania,ALB,1.544550115
Andorra,AND,5.777147992
United Arab Emirates,ARE,20.25227168
Argentina,ARG,3.40561754
Armenia,ARM,2.404683762
Antigua and Barbuda,ATG,5.121730122
Australia,AUS,14.77613691
Austria,AUT,6.632645737
Azerbaijan,AZE,3.398849573
Burundi,BDI,0.058384022
Belgium,BEL,7.398130658
Benin,BEN,0.631204806
Burkina Faso,BFA,0.253533189
Bangladesh,BGD,0.510647559
Bulgaria,BGR,4.923280379
Bahrain,BHR,21.97690781
"Bahamas, The",BHS,6.042251477
Bosnia and Herzegovina,BIH,6.312305874
Belarus,BLR,5.842407296
Belize,BLZ,1.741107715
Bolivia,BOL,1.539464696
Brazil,BRA,1.942523356
Barbados,BRB,3.904871158
Brunei Darussalam,BRN,21.70581244
Bhutan,BTN,1.340054317
Botswana,BWA,2.263463114
Central African Republic,CAF,0.044282073
Canada,CAN,13.59169634
Switzerland,CHE,4.042072815
Chile,CHL,4.395151064
China,CHN,7.756137907
Cote d'Ivoire,CIV,0.406347357
Cameroon,CMR,0.374782658
"Congo, Dem. Rep.",COD,0.032584781
"Congo, Rep.",COG,1.25459167
Colombia,COL,1.552259423
Comoros,COM,0.407112183
Cabo Verde,CPV,1.065151723
Costa Rica,CRI,1.35999555
Cuba,CUB,2.152769678
Cyprus,CYP,5.471998009
Czechia,CZE,8.304017496
Germany,DEU,7.255221028
Djibouti,DJI,0.392329171
Dominica,DMA,2.261268144
Denmark,DNK,4.691237308
Dominican Republic,DOM,2.080181722
Algeria,DZA,3.71822337
Ecuador,ECU,1.957575349
"Egypt, Arab Rep.",EGY,1.961122572
Eritrea,ERI,0.198657543
Spain,ESP,4.279594571
Estonia,EST,5.338399816
Ethiopia,ETH,0.154431772
Finland,FIN,6.570145128
Fiji,FJI,1.117096288
France,FRA,3.953682452
"Micronesia, Fed. Sts.",FSM,0.958913885
Gabon,GAB,2.333273575
United Kingdom,GBR,4.601142251
Georgia,GEO,2.754709196
Ghana,GHA,0.602887453
Guinea,GIN,0.343646151
"Gambia, The",GMB,0.237529599
Guinea-Bissau,GNB,0.163208369
Equatorial Guinea,GNQ,2.725730852
Greece,GRC,4.767184937
Grenada,GRD,2.624067021
Guatemala,GTM,1.000407336
Guyana,GUY,3.472771017
Honduras,HND,0.872911172
Croatia,HRV,3.860705392
Haiti,HTI,0.283815024
Hungary,HUN,4.591652907
Indonesia,IDN,2.071658962
India,IND,1.576093232
Ireland,IRL,6.76822759
"Iran, Islamic Rep.",IRN,7.063351321
Iraq,IRQ,3.84217782
Iceland,ISL,3.947465365
Israel,ISR,6.345216004
Italy,ITA,4.732372771
Jamaica,JAM,2.069041808
Jordan,JOR,1.919172426
Japan,JPN,8.03149587
Kazakhstan,KAZ,11.29774331
Kenya,KEN,0.374079219
Kyrgyz Republic,KGZ,1.37997538
Cambodia,KHM,1.137583659
Kiribati,KIR,0.449933973
St. Kitts and Nevis,KNA,4.848662944
"Korea, Rep.",KOR,10.99002958
Kuwait,KWT,21.16961025
Lao PDR,LAO,2.620283441
Lebanon,LBN,3.792193537
Liberia,LBR,0.231838924
Libya,LBY,6.682805471
St. Lucia,LCA,2.785139229
Liechtenstein,LIE,3.663847998
Sri Lanka,LKA,0.996683243
Lesotho,LSO,1.025642163
